Athlete,State,Sport,Gender,Age,Coach,Event Type,Medals
Dev Singh,West Bengal,Thang-Ta,Male,19,Coach Sharma,Sword & Shield,Gold
Yash Kaur,West Bengal,Thang-Ta,Female,24,Coach Patil,Spear Fighting,"Bronze, Gold"
Arjun Singh,Kerala,Thang-Ta,Female,34,Coach Singh,Spear Fighting,Gold
Dev Patil,Punjab,Thang-Ta,Female,25,Coach Patil,Sword & Shield,"Silver, Silver, Silver"
Anjali Yadav,Kerala,Thang-Ta,Female,30,Coach Kumar,Spear Fighting,Silver
Arjun Sharma,Rajasthan,Thang-Ta,Male,19,Coach Patil,Spear Fighting,"Bronze, Bronze, Bronze"
Vijay Patil,Karnataka,Thang-Ta,Male,32,Coach Sharma,Sword & Shield,"Bronze, Gold"
Pooja Chauhan,Tamil Nadu,Thang-Ta,Male,19,Coach Singh,Sword & Shield,"Bronze, Gold, Silver"
Arjun Reddy,Punjab,Thang-Ta,Female,23,Coach Singh,Sword & Shield,"Silver, Bronze, Bronze"
Aman Kaur,Kerala,Thang-Ta,Male,29,Coach Sharma,Sword & Shield,"Gold, Silver"
Pooja Nair,Rajasthan,Thang-Ta,Female,20,Coach Patil,Spear Fighting,"Bronze, Bronze, Silver"
Rohan Kaur,Uttar Pradesh,Thang-Ta,Male,35,Coach Patil,Spear Fighting,"Gold, Bronze"
Rohan Reddy,Kerala,Thang-Ta,Male,20,Coach Kumar,Spear Fighting,Bronze
Dev Kaur,Karnataka,Thang-Ta,Female,27,Coach Sharma,Spear Fighting,"Silver, Silver"
Anjali Sharma,Gujarat,Thang-Ta,Male,17,Coach Kumar,Sword & Shield,Bronze
Anjali Patil,Kerala,Thang-Ta,Male,24,Coach Sharma,Spear Fighting,"Silver, Silver, Bronze"
Vijay Chauhan,Kerala,Thang-Ta,Male,35,Coach Singh,Sword & Shield,"Silver, Gold, Gold"
Rohan Desai,Haryana,Thang-Ta,Female,16,Coach Kumar,Spear Fighting,
Yash Patil,Maharashtra,Thang-Ta,Female,29,Coach Patil,Spear Fighting,Gold
Sakshi Chauhan,Maharashtra,Thang-Ta,Male,31,Coach Patil,Spear Fighting,"Bronze, Silver"
Vijay Patil,Gujarat,Thang-Ta,Female,29,Coach Patil,Sword & Shield,"Bronze, Gold, Gold"
Sakshi Patil,Kerala,Thang-Ta,Male,20,Coach Kumar,Spear Fighting,Gold
Yash Joshi,Tamil Nadu,Thang-Ta,Male,20,Coach Iyer,Sword & Shield,Bronze
Isha Desai,Punjab,Thang-Ta,Female,34,Coach Patil,Sword & Shield,Gold
Isha Desai,Gujarat,Thang-Ta,Male,25,Coach Sharma,Spear Fighting,"Bronze, Bronze"
Sakshi Chauhan,Tamil Nadu,Thang-Ta,Male,16,Coach Singh,Spear Fighting,"Silver, Silver, Bronze"
Sakshi Patil,Rajasthan,Thang-Ta,Female,30,Coach Singh,Spear Fighting,"Bronze, Gold, Silver"
Arjun Singh,Maharashtra,Thang-Ta,Female,24,Coach Kumar,Spear Fighting,"Bronze, Silver, Bronze"
Isha Sharma,Rajasthan,Thang-Ta,Male,22,Coach Iyer,Sword & Shield,"Gold, Silver"
Arjun Joshi,Punjab,Thang-Ta,Male,22,Coach Patil,Sword & Shield,Silver
Pooja Yadav,Maharashtra,Thang-Ta,Male,32,Coach Kumar,Sword & Shield,
Pooja Chauhan,Kerala,Thang-Ta,Female,19,Coach Kumar,Spear Fighting,"Silver, Bronze"
Arjun Reddy,Uttar Pradesh,Thang-Ta,Male,34,Coach Kumar,Sword & Shield,Gold
Rohan Singh,West Bengal,Thang-Ta,Male,18,Coach Iyer,Sword & Shield,
Sakshi Patil,Karnataka,Thang-Ta,Male,25,Coach Iyer,Spear Fighting,"Gold, Gold"
Arjun Chauhan,Punjab,Thang-Ta,Female,22,Coach Sharma,Sword & Shield,"Bronze, Silver"
Arjun Desai,Kerala,Thang-Ta,Female,26,Coach Patil,Spear Fighting,Silver
Vijay Kaur,Maharashtra,Thang-Ta,Male,20,Coach Iyer,Spear Fighting,"Silver, Bronze"
Isha Nair,Punjab,Thang-Ta,Male,28,Coach Patil,Sword & Shield,
Rohan Joshi,Punjab,Thang-Ta,Male,29,Coach Iyer,Spear Fighting,Gold
Vijay Sharma,Haryana,Thang-Ta,Male,30,Coach Sharma,Sword & Shield,
Dev Joshi,Kerala,Thang-Ta,Female,24,Coach Patil,Spear Fighting,
Rohan Patil,Gujarat,Thang-Ta,Male,29,Coach Patil,Spear Fighting,"Bronze, Gold, Silver"
Anjali Yadav,Punjab,Thang-Ta,Female,29,Coach Sharma,Sword & Shield,Silver
Arjun Chauhan,Uttar Pradesh,Thang-Ta,Male,24,Coach Iyer,Spear Fighting,"Silver, Bronze"
Aman Patil,Punjab,Thang-Ta,Male,33,Coach Patil,Sword & Shield,Bronze
Vijay Sharma,Uttar Pradesh,Thang-Ta,Female,28,Coach Kumar,Sword & Shield,
Rohan Singh,Tamil Nadu,Thang-Ta,Female,25,Coach Iyer,Spear Fighting,Bronze
Rohan Chauhan,Kerala,Thang-Ta,Male,24,Coach Kumar,Spear Fighting,
Sakshi Desai,Gujarat,Thang-Ta,Female,20,Coach Iyer,Spear Fighting,
Vijay Singh,Gujarat,Thang-Ta,Male,31,Coach Patil,Sword & Shield,Silver
Pooja Reddy,Tamil Nadu,Thang-Ta,Female,17,Coach Patil,Spear Fighting,
Arjun Desai,Rajasthan,Thang-Ta,Male,33,Coach Patil,Sword & Shield,"Silver, Silver, Bronze"
Pooja Kaur,Punjab,Thang-Ta,Male,25,Coach Kumar,Sword & Shield,"Gold, Gold, Bronze"
Aman Singh,West Bengal,Thang-Ta,Male,30,Coach Kumar,Sword & Shield,Gold
Dev Sharma,Punjab,Thang-Ta,Male,31,Coach Singh,Spear Fighting,
Aman Yadav,Punjab,Thang-Ta,Female,26,Coach Kumar,Spear Fighting,"Gold, Gold"
Pooja Desai,Punjab,Thang-Ta,Male,31,Coach Iyer,Sword & Shield,"Silver, Gold, Silver"
Vijay Patil,Gujarat,Thang-Ta,Male,26,Coach Singh,Spear Fighting,
Arjun Nair,Karnataka,Thang-Ta,Male,27,Coach Singh,Sword & Shield,"Bronze, Bronze, Bronze"
Dev Chauhan,Gujarat,Thang-Ta,Female,26,Coach Kumar,Sword & Shield,Gold
Isha Kaur,Rajasthan,Thang-Ta,Female,30,Coach Patil,Spear Fighting,"Gold, Silver, Silver"
Isha Kaur,Tamil Nadu,Thang-Ta,Female,32,Coach Iyer,Spear Fighting,"Silver, Silver, Gold"
Aman Joshi,Karnataka,Thang-Ta,Male,25,Coach Patil,Sword & Shield,"Bronze, Bronze, Bronze"
Yash Desai,Kerala,Thang-Ta,Female,28,Coach Iyer,Spear Fighting,Bronze
Vijay Chauhan,West Bengal,Thang-Ta,Female,31,Coach Iyer,Sword & Shield,"Gold, Gold"
Aman Sharma,Punjab,Thang-Ta,Female,17,Coach Sharma,Spear Fighting,Silver
Pooja Singh,Haryana,Thang-Ta,Female,29,Coach Patil,Spear Fighting,"Bronze, Gold, Gold"
Arjun Nair,Maharashtra,Thang-Ta,Male,17,Coach Kumar,Spear Fighting,"Silver, Bronze, Bronze"
Vijay Singh,Maharashtra,Thang-Ta,Female,17,Coach Singh,Sword & Shield,"Silver, Silver"
Sakshi Singh,Punjab,Thang-Ta,Female,29,Coach Singh,Spear Fighting,
Isha Patil,Kerala,Thang-Ta,Female,28,Coach Sharma,Spear Fighting,
Aman Desai,Kerala,Thang-Ta,Male,24,Coach Singh,Sword & Shield,Gold
Vijay Kaur,Gujarat,Thang-Ta,Female,19,Coach Sharma,Sword & Shield,"Silver, Gold, Silver"
Rohan Yadav,Karnataka,Thang-Ta,Male,27,Coach Kumar,Spear Fighting,
Anjali Yadav,Rajasthan,Thang-Ta,Male,26,Coach Patil,Spear Fighting,"Bronze, Silver"
Yash Sharma,Haryana,Thang-Ta,Female,22,Coach Patil,Spear Fighting,Silver
Arjun Nair,Rajasthan,Thang-Ta,Male,34,Coach Kumar,Spear Fighting,
Dev Joshi,Kerala,Thang-Ta,Male,23,Coach Singh,Spear Fighting,Silver
Yash Yadav,Haryana,Thang-Ta,Male,27,Coach Kumar,Spear Fighting,"Silver, Bronze, Silver"
Vijay Joshi,Gujarat,Thang-Ta,Female,30,Coach Kumar,Sword & Shield,"Silver, Bronze, Bronze"
Pooja Desai,Rajasthan,Thang-Ta,Male,30,Coach Sharma,Spear Fighting,
Dev Joshi,Maharashtra,Thang-Ta,Male,17,Coach Singh,Sword & Shield,Gold
Aman Patil,Maharashtra,Thang-Ta,Male,35,Coach Iyer,Spear Fighting,"Gold, Silver"
Rohan Reddy,Punjab,Thang-Ta,Male,16,Coach Iyer,Spear Fighting,"Gold, Bronze, Silver"
Pooja Reddy,Tamil Nadu,Thang-Ta,Female,35,Coach Kumar,Spear Fighting,"Silver, Silver"
Vijay Desai,Rajasthan,Thang-Ta,Male,25,Coach Singh,Sword & Shield,Silver
Isha Desai,Haryana,Thang-Ta,Male,22,Coach Singh,Sword & Shield,"Gold, Gold"
Vijay Joshi,Punjab,Thang-Ta,Female,29,Coach Iyer,Spear Fighting,
Pooja Reddy,West Bengal,Thang-Ta,Female,24,Coach Singh,Sword & Shield,
Rohan Sharma,Haryana,Thang-Ta,Female,22,Coach Patil,Sword & Shield,"Gold, Bronze"
Aman Desai,Gujarat,Thang-Ta,Male,30,Coach Singh,Spear Fighting,"Silver, Bronze, Silver"
Aman Sharma,Kerala,Thang-Ta,Male,22,Coach Kumar,Sword & Shield,"Gold, Gold, Bronze"
Anjali Sharma,West Bengal,Thang-Ta,Male,26,Coach Iyer,Spear Fighting,"Silver, Silver, Bronze"
Aman Chauhan,Tamil Nadu,Thang-Ta,Male,26,Coach Sharma,Spear Fighting,Silver
Anjali Singh,Karnataka,Thang-Ta,Male,29,Coach Sharma,Spear Fighting,Bronze
Pooja Reddy,Maharashtra,Thang-Ta,Female,20,Coach Patil,Spear Fighting,
Anjali Yadav,Tamil Nadu,Thang-Ta,Male,22,Coach Singh,Sword & Shield,"Gold, Silver, Silver"
Pooja Sharma,Haryana,Thang-Ta,Female,16,Coach Kumar,Sword & Shield,"Bronze, Gold"
Isha Patil,Punjab,Thang-Ta,Male,22,Coach Sharma,Sword & Shield,"Bronze, Gold"
Vijay Desai,Rajasthan,Thang-Ta,Female,18,Coach Iyer,Spear Fighting,
Dev Kaur,Punjab,Thang-Ta,Female,27,Coach Sharma,Spear Fighting,"Silver, Bronze"
Sakshi Reddy,West Bengal,Thang-Ta,Female,26,Coach Singh,Sword & Shield,"Gold, Silver"
Vijay Desai,Gujarat,Thang-Ta,Female,33,Coach Sharma,Spear Fighting,Bronze
Vijay Nair,Karnataka,Thang-Ta,Male,29,Coach Singh,Spear Fighting,Bronze
Sakshi Chauhan,Punjab,Thang-Ta,Male,21,Coach Iyer,Sword & Shield,"Silver, Silver"
Arjun Reddy,Karnataka,Thang-Ta,Male,29,Coach Patil,Spear Fighting,"Gold, Silver, Gold"
Anjali Sharma,Gujarat,Thang-Ta,Female,16,Coach Patil,Spear Fighting,"Gold, Bronze, Gold"
Sakshi Reddy,Gujarat,Thang-Ta,Female,17,Coach Singh,Sword & Shield,"Gold, Bronze, Silver"
Vijay Chauhan,Rajasthan,Thang-Ta,Female,31,Coach Iyer,Spear Fighting,"Bronze, Gold"
Aman Chauhan,Uttar Pradesh,Thang-Ta,Male,23,Coach Singh,Sword & Shield,"Silver, Bronze, Silver"
Sakshi Desai,Kerala,Thang-Ta,Male,35,Coach Sharma,Spear Fighting,Bronze
Rohan Singh,Uttar Pradesh,Thang-Ta,Female,35,Coach Patil,Spear Fighting,Bronze
Aman Joshi,Rajasthan,Thang-Ta,Female,17,Coach Kumar,Spear Fighting,Bronze
Rohan Reddy,Gujarat,Thang-Ta,Female,23,Coach Iyer,Sword & Shield,"Silver, Bronze, Silver"
Sakshi Sharma,Karnataka,Thang-Ta,Female,32,Coach Sharma,Spear Fighting,
Sakshi Joshi,West Bengal,Thang-Ta,Male,35,Coach Kumar,Spear Fighting,"Bronze, Bronze"
Anjali Yadav,Haryana,Thang-Ta,Male,16,Coach Iyer,Spear Fighting,"Gold, Silver"
Vijay Chauhan,Haryana,Thang-Ta,Female,24,Coach Iyer,Sword & Shield,"Bronze, Silver, Silver"
Vijay Reddy,Gujarat,Thang-Ta,Male,35,Coach Kumar,Spear Fighting,
Pooja Patil,Tamil Nadu,Thang-Ta,Male,27,Coach Iyer,Spear Fighting,"Bronze, Silver, Silver"
Dev Chauhan,Maharashtra,Thang-Ta,Female,28,Coach Sharma,Spear Fighting,
Aman Chauhan,Rajasthan,Thang-Ta,Male,23,Coach Singh,Sword & Shield,Silver
Pooja Patil,Haryana,Thang-Ta,Male,23,Coach Singh,Sword & Shield,"Silver, Bronze"
Vijay Sharma,Gujarat,Thang-Ta,Male,28,Coach Singh,Sword & Shield,
Rohan Nair,Maharashtra,Thang-Ta,Male,19,Coach Sharma,Spear Fighting,"Gold, Gold"
Isha Singh,Uttar Pradesh,Thang-Ta,Female,20,Coach Patil,Spear Fighting,"Bronze, Bronze"
Vijay Singh,Maharashtra,Thang-Ta,Female,30,Coach Singh,Spear Fighting,"Bronze, Silver"
Anjali Chauhan,Kerala,Thang-Ta,Female,19,Coach Sharma,Sword & Shield,"Gold, Bronze"
Isha Nair,Uttar Pradesh,Thang-Ta,Male,28,Coach Sharma,Spear Fighting,"Bronze, Silver, Gold"
Arjun Chauhan,Uttar Pradesh,Thang-Ta,Male,32,Coach Kumar,Sword & Shield,Gold
Dev Sharma,Maharashtra,Thang-Ta,Female,27,Coach Iyer,Spear Fighting,Bronze
Isha Yadav,Haryana,Thang-Ta,Female,28,Coach Sharma,Spear Fighting,
Arjun Patil,Uttar Pradesh,Thang-Ta,Female,31,Coach Singh,Sword & Shield,"Bronze, Bronze, Bronze"
Sakshi Patil,Punjab,Thang-Ta,Male,22,Coach Iyer,Spear Fighting,
Anjali Desai,Maharashtra,Thang-Ta,Female,17,Coach Iyer,Sword & Shield,"Gold, Gold"
Pooja Nair,Gujarat,Thang-Ta,Female,33,Coach Iyer,Spear Fighting,"Silver, Bronze"
Yash Yadav,Maharashtra,Thang-Ta,Male,31,Coach Singh,Spear Fighting,
Vijay Joshi,West Bengal,Thang-Ta,Female,21,Coach Patil,Spear Fighting,Bronze
Pooja Joshi,Karnataka,Thang-Ta,Male,35,Coach Sharma,Spear Fighting,Silver
Isha Desai,Punjab,Thang-Ta,Male,25,Coach Iyer,Spear Fighting,"Gold, Gold"
Yash Joshi,Karnataka,Thang-Ta,Male,26,Coach Sharma,Sword & Shield,"Bronze, Gold, Gold"
Pooja Patil,Karnataka,Thang-Ta,Male,32,Coach Kumar,Sword & Shield,"Silver, Bronze, Bronze"
Arjun Joshi,Uttar Pradesh,Thang-Ta,Male,16,Coach Kumar,Sword & Shield,
Aman Joshi,Uttar Pradesh,Thang-Ta,Male,21,Coach Singh,Spear Fighting,
Vijay Sharma,Uttar Pradesh,Thang-Ta,Female,28,Coach Sharma,Spear Fighting,Bronze
Yash Singh,Punjab,Thang-Ta,Female,18,Coach Iyer,Sword & Shield,
Sakshi Yadav,Tamil Nadu,Thang-Ta,Male,19,Coach Singh,Spear Fighting,Silver
Aman Reddy,Kerala,Thang-Ta,Male,26,Coach Patil,Sword & Shield,"Silver, Gold"
Vijay Reddy,Maharashtra,Thang-Ta,Female,27,Coach Patil,Spear Fighting,
Sakshi Joshi,Kerala,Thang-Ta,Female,28,Coach Iyer,Sword & Shield,
Sakshi Desai,Rajasthan,Thang-Ta,Female,20,Coach Sharma,Spear Fighting,"Bronze, Gold, Gold"
Pooja Reddy,Maharashtra,Thang-Ta,Male,35,Coach Singh,Spear Fighting,"Silver, Gold, Bronze"
Rohan Desai,Gujarat,Thang-Ta,Female,34,Coach Iyer,Sword & Shield,"Gold, Bronze, Gold"
Rohan Kaur,Rajasthan,Thang-Ta,Female,18,Coach Patil,Spear Fighting,"Silver, Gold"
Arjun Patil,Gujarat,Thang-Ta,Male,29,Coach Iyer,Sword & Shield,"Gold, Silver, Silver"
Dev Singh,Maharashtra,Thang-Ta,Female,16,Coach Patil,Sword & Shield,"Bronze, Bronze"
Isha Nair,Kerala,Thang-Ta,Female,22,Coach Patil,Sword & Shield,"Silver, Gold"
Dev Singh,Haryana,Thang-Ta,Male,33,Coach Iyer,Sword & Shield,"Bronze, Silver, Gold"
Arjun Joshi,Rajasthan,Thang-Ta,Male,34,Coach Patil,Sword & Shield,
Anjali Nair,Tamil Nadu,Thang-Ta,Male,19,Coach Singh,Spear Fighting,"Silver, Gold"
Aman Singh,Maharashtra,Thang-Ta,Male,27,Coach Singh,Sword & Shield,"Bronze, Gold"
Rohan Singh,West Bengal,Thang-Ta,Male,17,Coach Patil,Sword & Shield,Silver
Pooja Reddy,Haryana,Thang-Ta,Female,21,Coach Singh,Spear Fighting,"Silver, Bronze"
Anjali Sharma,Kerala,Thang-Ta,Male,34,Coach Kumar,Spear Fighting,
Arjun Desai,Karnataka,Thang-Ta,Female,17,Coach Kumar,Spear Fighting,
Isha Yadav,Kerala,Thang-Ta,Male,32,Coach Singh,Sword & Shield,"Gold, Gold, Gold"
Vijay Yadav,Gujarat,Thang-Ta,Female,18,Coach Iyer,Sword & Shield,"Silver, Silver, Bronze"
Yash Patil,Gujarat,Thang-Ta,Male,25,Coach Sharma,Sword & Shield,
Vijay Patil,Punjab,Thang-Ta,Female,19,Coach Sharma,Sword & Shield,
Vijay Sharma,Karnataka,Thang-Ta,Female,23,Coach Iyer,Sword & Shield,Silver
Rohan Chauhan,Maharashtra,Thang-Ta,Male,19,Coach Iyer,Spear Fighting,Gold
Yash Yadav,Tamil Nadu,Thang-Ta,Male,34,Coach Kumar,Sword & Shield,"Bronze, Bronze"
Arjun Kaur,Rajasthan,Thang-Ta,Male,34,Coach Sharma,Sword & Shield,Silver
Sakshi Sharma,Haryana,Thang-Ta,Male,32,Coach Sharma,Sword & Shield,
Isha Kaur,Haryana,Thang-Ta,Male,16,Coach Singh,Spear Fighting,"Bronze, Silver, Bronze"
Dev Reddy,Gujarat,Thang-Ta,Female,27,Coach Sharma,Spear Fighting,"Gold, Gold"
Sakshi Nair,Punjab,Thang-Ta,Female,17,Coach Sharma,Sword & Shield,"Gold, Gold, Bronze"
Dev Patil,West Bengal,Thang-Ta,Female,18,Coach Singh,Spear Fighting,Bronze
Anjali Kaur,Tamil Nadu,Thang-Ta,Male,25,Coach Patil,Spear Fighting,"Bronze, Gold"
Yash Singh,Punjab,Thang-Ta,Male,23,Coach Iyer,Sword & Shield,Gold
Pooja Chauhan,West Bengal,Thang-Ta,Male,25,Coach Patil,Spear Fighting,"Gold, Silver"
Rohan Chauhan,West Bengal,Thang-Ta,Male,19,Coach Kumar,Spear Fighting,Silver
Rohan Yadav,West Bengal,Thang-Ta,Male,34,Coach Iyer,Spear Fighting,"Gold, Gold"
Isha Yadav,Haryana,Thang-Ta,Female,22,Coach Sharma,Sword & Shield,"Bronze, Silver"
Pooja Kaur,Maharashtra,Thang-Ta,Female,33,Coach Kumar,Sword & Shield,
Yash Sharma,Karnataka,Thang-Ta,Female,27,Coach Patil,Spear Fighting,Gold
Pooja Singh,Karnataka,Thang-Ta,Female,16,Coach Singh,Spear Fighting,Bronze
Dev Reddy,Punjab,Thang-Ta,Male,35,Coach Singh,Spear Fighting,"Gold, Silver"
Anjali Reddy,Karnataka,Thang-Ta,Female,23,Coach Singh,Sword & Shield,
Isha Singh,West Bengal,Thang-Ta,Female,29,Coach Iyer,Spear Fighting,Silver
Arjun Joshi,Rajasthan,Thang-Ta,Female,27,Coach Kumar,Sword & Shield,"Silver, Silver"
Pooja Reddy,Uttar Pradesh,Thang-Ta,Female,17,Coach Singh,Sword & Shield,Gold
Arjun Singh,Maharashtra,Thang-Ta,Female,19,Coach Sharma,Spear Fighting,"Gold, Silver, Gold"
Arjun Joshi,Rajasthan,Thang-Ta,Female,30,Coach Singh,Spear Fighting,"Silver, Gold, Silver"
Isha Kaur,Karnataka,Thang-Ta,Male,20,Coach Singh,Spear Fighting,"Bronze, Silver, Gold"
Rohan Chauhan,West Bengal,Thang-Ta,Male,20,Coach Sharma,Sword & Shield,Bronze
Sakshi Singh,Gujarat,Thang-Ta,Male,17,Coach Patil,Spear Fighting,
Yash Yadav,Kerala,Thang-Ta,Female,29,Coach Kumar,Spear Fighting,"Silver, Bronze"
Sakshi Nair,Maharashtra,Thang-Ta,Male,17,Coach Kumar,Spear Fighting,"Bronze, Gold"
Pooja Yadav,Karnataka,Thang-Ta,Male,32,Coach Singh,Sword & Shield,"Bronze, Gold"
Aman Reddy,Maharashtra,Thang-Ta,Female,24,Coach Patil,Sword & Shield,Gold
Sakshi Patil,Uttar Pradesh,Thang-Ta,Female,20,Coach Patil,Spear Fighting,"Silver, Silver"
Vijay Singh,Karnataka,Thang-Ta,Female,18,Coach Sharma,Sword & Shield,Bronze
Vijay Sharma,West Bengal,Thang-Ta,Female,20,Coach Kumar,Sword & Shield,
Sakshi Nair,Punjab,Thang-Ta,Male,16,Coach Kumar,Sword & Shield,"Silver, Bronze, Gold"
Sakshi Singh,Karnataka,Thang-Ta,Male,16,Coach Sharma,Sword & Shield,Bronze
Sakshi Chauhan,Karnataka,Thang-Ta,Female,30,Coach Singh,Sword & Shield,"Silver, Gold"
Yash Kaur,Punjab,Thang-Ta,Female,24,Coach Kumar,Spear Fighting,"Silver, Bronze"
Vijay Joshi,Gujarat,Thang-Ta,Male,21,Coach Iyer,Spear Fighting,
Vijay Sharma,Kerala,Thang-Ta,Male,16,Coach Iyer,Spear Fighting,
Vijay Sharma,Maharashtra,Thang-Ta,Male,30,Coach Sharma,Spear Fighting,"Bronze, Gold, Silver"
Dev Nair,Tamil Nadu,Thang-Ta,Male,35,Coach Singh,Spear Fighting,"Bronze, Gold, Gold"
Yash Desai,Punjab,Thang-Ta,Female,19,Coach Patil,Spear Fighting,
Vijay Kaur,Gujarat,Thang-Ta,Female,29,Coach Singh,Spear Fighting,"Gold, Silver"
Pooja Singh,Tamil Nadu,Thang-Ta,Female,19,Coach Kumar,Spear Fighting,Bronze
Dev Desai,Rajasthan,Thang-Ta,Female,32,Coach Patil,Spear Fighting,"Gold, Silver"
Arjun Yadav,Karnataka,Thang-Ta,Female,17,Coach Sharma,Spear Fighting,"Gold, Gold"
Dev Reddy,Rajasthan,Thang-Ta,Female,19,Coach Iyer,Sword & Shield,"Gold, Silver"
Vijay Chauhan,Gujarat,Thang-Ta,Female,31,Coach Patil,Spear Fighting,"Bronze, Silver"
Rohan Singh,Karnataka,Thang-Ta,Female,33,Coach Kumar,Sword & Shield,"Silver, Gold, Bronze"
Arjun Singh,Uttar Pradesh,Thang-Ta,Female,22,Coach Singh,Spear Fighting,"Silver, Silver"
Yash Patil,Tamil Nadu,Thang-Ta,Male,29,Coach Kumar,Spear Fighting,Bronze
Sakshi Nair,Rajasthan,Thang-Ta,Female,20,Coach Singh,Sword & Shield,Silver
Rohan Patil,Maharashtra,Thang-Ta,Female,34,Coach Singh,Sword & Shield,"Bronze, Silver"
Dev Yadav,West Bengal,Thang-Ta,Male,24,Coach Patil,Sword & Shield,
Anjali Singh,Rajasthan,Thang-Ta,Male,20,Coach Patil,Spear Fighting,
Pooja Nair,Maharashtra,Yogasana Sports,Female,20,Coach Iyer,Traditional,"Bronze, Gold, Silver"
Rohan Singh,Gujarat,Yogasana Sports,Female,35,Coach Sharma,Traditional,"Silver, Bronze, Silver"
Rohan Singh,Karnataka,Yogasana Sports,Male,35,Coach Iyer,Artistic,Gold
Isha Yadav,Tamil Nadu,Yogasana Sports,Female,21,Coach Kumar,Artistic,"Gold, Gold, Silver"
Dev Desai,Punjab,Yogasana Sports,Female,20,Coach Sharma,Traditional,Gold
Yash Reddy,Kerala,Yogasana Sports,Female,32,Coach Sharma,Traditional,
Vijay Nair,Uttar Pradesh,Yogasana Sports,Female,26,Coach Iyer,Traditional,"Gold, Silver"
Aman Patil,Haryana,Yogasana Sports,Male,23,Coach Patil,Artistic,"Silver, Bronze"
Yash Reddy,Gujarat,Yogasana Sports,Female,17,Coach Patil,Traditional,Bronze
Isha Kaur,Kerala,Yogasana Sports,Male,27,Coach Patil,Traditional,"Silver, Gold, Gold"
Rohan Yadav,Karnataka,Yogasana Sports,Female,26,Coach Kumar,Traditional,
Pooja Reddy,Gujarat,Yogasana Sports,Female,27,Coach Iyer,Artistic,"Silver, Bronze, Bronze"
Rohan Singh,West Bengal,Yogasana Sports,Male,32,Coach Kumar,Traditional,
Pooja Kaur,Karnataka,Yogasana Sports,Male,17,Coach Patil,Traditional,Silver
Vijay Yadav,Karnataka,Yogasana Sports,Male,33,Coach Iyer,Traditional,
Isha Reddy,Gujarat,Yogasana Sports,Female,19,Coach Sharma,Artistic,
Anjali Desai,Haryana,Yogasana Sports,Female,33,Coach Kumar,Traditional,
Rohan Singh,Punjab,Yogasana Sports,Female,20,Coach Singh,Artistic,"Bronze, Silver"
Sakshi Singh,Gujarat,Yogasana Sports,Male,19,Coach Sharma,Traditional,
Rohan Joshi,Maharashtra,Yogasana Sports,Female,24,Coach Kumar,Artistic,Bronze
Aman Nair,Kerala,Yogasana Sports,Female,22,Coach Kumar,Traditional,"Silver, Gold"
Vijay Desai,Uttar Pradesh,Yogasana Sports,Male,27,Coach Kumar,Traditional,Silver
Aman Chauhan,West Bengal,Yogasana Sports,Male,26,Coach Iyer,Traditional,Bronze
Isha Sharma,Gujarat,Yogasana Sports,Male,16,Coach Kumar,Traditional,Bronze
Isha Sharma,Karnataka,Yogasana Sports,Female,23,Coach Kumar,Traditional,Bronze
Isha Reddy,Tamil Nadu,Yogasana Sports,Female,29,Coach Sharma,Artistic,"Bronze, Silver"
Vijay Patil,Kerala,Yogasana Sports,Male,32,Coach Iyer,Artistic,
Rohan Chauhan,Punjab,Yogasana Sports,Female,33,Coach Iyer,Artistic,"Silver, Silver"
Anjali Singh,West Bengal,Yogasana Sports,Female,25,Coach Singh,Artistic,"Gold, Bronze"
Dev Patil,Tamil Nadu,Yogasana Sports,Female,16,Coach Iyer,Artistic,Silver
Isha Reddy,Punjab,Yogasana Sports,Male,33,Coach Kumar,Artistic,Silver
Dev Sharma,Karnataka,Yogasana Sports,Male,21,Coach Kumar,Traditional,
Sakshi Patil,Haryana,Yogasana Sports,Female,26,Coach Sharma,Artistic,"Gold, Silver, Bronze"
Isha Singh,Kerala,Yogasana Sports,Female,33,Coach Singh,Traditional,Bronze
Pooja Chauhan,Punjab,Yogasana Sports,Female,24,Coach Sharma,Traditional,"Silver, Silver, Gold"
Dev Reddy,Kerala,Yogasana Sports,Female,20,Coach Sharma,Artistic,"Bronze, Bronze"
Rohan Joshi,Karnataka,Yogasana Sports,Female,27,Coach Patil,Traditional,Bronze
Anjali Sharma,West Bengal,Yogasana Sports,Male,31,Coach Patil,Artistic,"Silver, Gold"
Isha Patil,Karnataka,Yogasana Sports,Female,29,Coach Patil,Artistic,"Gold, Silver"
Rohan Desai,Tamil Nadu,Yogasana Sports,Male,31,Coach Sharma,Artistic,Silver
Yash Sharma,Tamil Nadu,Yogasana Sports,Male,31,Coach Singh,Artistic,Gold
Aman Singh,Haryana,Yogasana Sports,Male,35,Coach Patil,Traditional,Bronze
Arjun Joshi,Tamil Nadu,Yogasana Sports,Female,16,Coach Sharma,Traditional,Gold
Yash Desai,Haryana,Yogasana Sports,Female,34,Coach Patil,Artistic,
Yash Patil,Rajasthan,Yogasana Sports,Female,30,Coach Kumar,Traditional,"Silver, Silver, Bronze"
Isha Desai,Haryana,Yogasana Sports,Male,34,Coach Kumar,Traditional,"Gold, Bronze"
Rohan Chauhan,Gujarat,Yogasana Sports,Female,29,Coach Kumar,Artistic,Silver
